,owner,repo,commit_sha,source
184,realrasengan,AIQA,fb86f8c48978bd218df62f6bf034463f0034b426,Shao_Dataset.csv
185,robiwan303,babyagi,9c22f053675710094576bfc4e6527f59a50e6ac2,Shao_Dataset.csv
84,run-llama,llama_index,,Own_Extracted_Dataset.xlsx
85,run-llama,rags,,Own_Extracted_Dataset.xlsx
186,sagarsaija,gpt4-pdf-chatbot-langchain-chroma,259d5cb6510b0c06b93389810671d73482f9a37c,Shao_Dataset.csv
187,saten-private,BabyCommandAGI,993f7075479d4d89948410bfec0c4c18d4a06b0c,Shao_Dataset.csv
86,sczhou,CodeFormer,,Own_Extracted_Dataset.xlsx
87,sgl-project,sglang,,Own_Extracted_Dataset.xlsx
88,simonw,llm,,Own_Extracted_Dataset.xlsx
89,speechbrain,speechbrain,,Own_Extracted_Dataset.xlsx
188,starsnatched,MemGPT-multimodal,82b9b74efa9ad2a04dc531b0ef77a9e229e86e00,Shao_Dataset.csv
90,stas00,ml-engineering,,Own_Extracted_Dataset.xlsx
189,sw5park,LUISE,e88343c1e2d1c634a33838500e6cc72aa97fdeaa,Shao_Dataset.csv
190,szpnygo,VecTextSearch,ec6a1a2861b1399b3463026980c02507702d3508,Shao_Dataset.csv
91,unslothai,unsloth,,Own_Extracted_Dataset.xlsx
191,ushakrishnan,SearchWithOpenAI,470a5d10f786efbac2feab18330c69365a937599,Shao_Dataset.csv
192,uukuguy,DB-GPT-Lite,d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Shao_Dataset.csv
92,vllm-project,vllm,,Own_Extracted_Dataset.xlsx
193,vmayoral,PentestGPT,58e80fa92dea24da3d4899aa625b7683100720da,Shao_Dataset.csv
93,wzpan,wukong-robot,,Own_Extracted_Dataset.xlsx
94,xorbitsai,inference,,Own_Extracted_Dataset.xlsx
95,xtekky,gpt4free,,Own_Extracted_Dataset.xlsx
194,yangchuansheng,DocsGPT,595581b624b54046d756ad28bc845521ee4807d0,Shao_Dataset.csv
195,yanll,YP-GPT,6df9f79f694ba4aaf0dc84867cd44e66c062c99f,Shao_Dataset.csv
96,ymcui,Chinese-LLaMA-Alpaca,,Own_Extracted_Dataset.xlsx
97,ymcui,Chinese-LLaMA-Alpaca-2,,Own_Extracted_Dataset.xlsx
196,yoheinakajima,babyagi,3532f987744e9254afacc254e3325d1910c0651d,Shao_Dataset.csv
197,yujiosaka,ChatIQ,def21481b0c132173b51d1d7a314b103db324ca2,Shao_Dataset.csv
198,yvann-hub,Robby-chatbot,5beb6894c8ba0d0b67188ba2be568a2a22a00491,Shao_Dataset.csv
98,zhayujie,chatgpt-on-wechat,,Own_Extracted_Dataset.xlsx
199,zhjunqin,Langchain-Chatchat-InternLM,761f0bc3a94ccdda9970761b6c769c7e0537e2e8,Shao_Dataset.csv
99,zilliztech,GPTCache,,Own_Extracted_Dataset.xlsx
