project,rule,alerts
saten-private__BabyCommandAGI,No Model Version Pinning (NMVP),4
saten-private__BabyCommandAGI,No Structured Output (NSO),10
saten-private__BabyCommandAGI,No System Message (NSM),3
saten-private__BabyCommandAGI,Unbounded Max Metrics (UMM),1
sw5park__LUISE,No Structured Output (NSO),1
uukuguy__DB-GPT-Lite,LLM Temperature Not Explicitly Set(TNES),3
uukuguy__DB-GPT-Lite,No Model Version Pinning (NMVP),23
uukuguy__DB-GPT-Lite,No Structured Output (NSO),2
uukuguy__DB-GPT-Lite,No System Message (NSM),2
uukuguy__DB-GPT-Lite,Unbounded Max Metrics (UMM),3
vmayoral__PentestGPT,LLM Temperature Not Explicitly Set(TNES),2
vmayoral__PentestGPT,No Model Version Pinning (NMVP),2
vmayoral__PentestGPT,No Structured Output (NSO),8
vmayoral__PentestGPT,No System Message (NSM),4
vmayoral__PentestGPT,Unbounded Max Metrics (UMM),8
yoheinakajima__babyagi,No Structured Output (NSO),2
yoheinakajima__babyagi,No System Message (NSM),1
yujiosaka__ChatIQ,Unbounded Max Metrics (UMM),1
yvann-hub__Robby-chatbot,Unbounded Max Metrics (UMM),3
zhjunqin__Langchain-Chatchat-InternLM,LLM Temperature Not Explicitly Set(TNES),5
zhjunqin__Langchain-Chatchat-InternLM,No Structured Output (NSO),1
zhjunqin__Langchain-Chatchat-InternLM,Unbounded Max Metrics (UMM),5
