project,rule,alerts
hzg0601__langchain-ChatGLM-annotation,LLM Temperature Not Explicitly Set(TNES),2
hzg0601__langchain-ChatGLM-annotation,No Model Version Pinning (NMVP),3
hzg0601__langchain-ChatGLM-annotation,No Structured Output (NSO),2
hzg0601__langchain-ChatGLM-annotation,Unbounded Max Metrics (UMM),2
iMagist486__ElasticSearch-Langchain-Chatglm2,No Model Version Pinning (NMVP),2
intel__ipex-llm,LLM Temperature Not Explicitly Set(TNES),2
intel__ipex-llm,No Model Version Pinning (NMVP),783
intel__ipex-llm,No Structured Output (NSO),2
intel__ipex-llm,No System Message (NSM),1
intel__ipex-llm,Unbounded Max Metrics (UMM),1
junruxiong__IncarnaMind,LLM Temperature Not Explicitly Set(TNES),1
junruxiong__IncarnaMind,No Model Version Pinning (NMVP),2
junruxiong__IncarnaMind,No Structured Output (NSO),1
junruxiong__IncarnaMind,Unbounded Max Metrics (UMM),3
jzhang38__TinyLlama,LLM Temperature Not Explicitly Set(TNES),2
jzhang38__TinyLlama,No Model Version Pinning (NMVP),9
jzhang38__TinyLlama,No Structured Output (NSO),2
jzhang38__TinyLlama,Unbounded Max Metrics (UMM),2
khoj-ai__khoj,LLM Temperature Not Explicitly Set(TNES),9
khoj-ai__khoj,No Model Version Pinning (NMVP),2
khoj-ai__khoj,No Structured Output (NSO),6
khoj-ai__khoj,No System Message (NSM),3
khoj-ai__khoj,Unbounded Max Metrics (UMM),10
labmlai__annotated_deep_learning_paper_implementations,No Model Version Pinning (NMVP),2
labring__FastGPT,No Model Version Pinning (NMVP),4
langchain-ai__chat-langchain,Unbounded Max Metrics (UMM),2
ludwig-ai__ludwig,No Model Version Pinning (NMVP),10
marella__chatdocs,LLM Temperature Not Explicitly Set(TNES),1
marella__chatdocs,No Model Version Pinning (NMVP),1
marella__chatdocs,Unbounded Max Metrics (UMM),1
matigumma__bb.agi,No Structured Output (NSO),2
matigumma__bb.agi,No System Message (NSM),1
meta-llama__llama-stack,LLM Temperature Not Explicitly Set(TNES),81
meta-llama__llama-stack,No Model Version Pinning (NMVP),9
meta-llama__llama-stack,No Structured Output (NSO),57
meta-llama__llama-stack,No System Message (NSM),18
meta-llama__llama-stack,Unbounded Max Metrics (UMM),72
microsoft__markitdown,LLM Temperature Not Explicitly Set(TNES),3
microsoft__markitdown,No Structured Output (NSO),2
microsoft__markitdown,No System Message (NSM),2
microsoft__markitdown,Unbounded Max Metrics (UMM),3
modelscope__ms-swift,LLM Temperature Not Explicitly Set(TNES),10
modelscope__ms-swift,No Model Version Pinning (NMVP),24
modelscope__ms-swift,No Structured Output (NSO),14
modelscope__ms-swift,No System Message (NSM),7
modelscope__ms-swift,Unbounded Max Metrics (UMM),6
neuml__txtai,No Model Version Pinning (NMVP),15
openai__openai-agents-python,LLM Temperature Not Explicitly Set(TNES),4
openai__openai-agents-python,No Structured Output (NSO),5
openai__openai-agents-python,No System Message (NSM),1
openai__openai-agents-python,Unbounded Max Metrics (UMM),3
openai__openai-python,LLM Temperature Not Explicitly Set(TNES),94
openai__openai-python,No Model Version Pinning (NMVP),34
openai__openai-python,No Structured Output (NSO),45
openai__openai-python,No System Message (NSM),28
openai__openai-python,Unbounded Max Metrics (UMM),43
openai__swarm,LLM Temperature Not Explicitly Set(TNES),10
openai__swarm,No Model Version Pinning (NMVP),1
openai__swarm,No Structured Output (NSO),6
openai__swarm,No System Message (NSM),2
openai__swarm,Unbounded Max Metrics (UMM),3
oumi-ai__oumi,LLM Temperature Not Explicitly Set(TNES),3
oumi-ai__oumi,No Model Version Pinning (NMVP),19
oumi-ai__oumi,No Structured Output (NSO),1
oumi-ai__oumi,No System Message (NSM),1
oumi-ai__oumi,Unbounded Max Metrics (UMM),1
qodo-ai__pr-agent,LLM Temperature Not Explicitly Set(TNES),2
qodo-ai__pr-agent,No Structured Output (NSO),1
qodo-ai__pr-agent,No System Message (NSM),1
qodo-ai__pr-agent,Unbounded Max Metrics (UMM),3
robiwan303__babyagi,No Model Version Pinning (NMVP),5
robiwan303__babyagi,No Structured Output (NSO),10
robiwan303__babyagi,No System Message (NSM),3
run-llama__llama_index,LLM Temperature Not Explicitly Set(TNES),135
run-llama__llama_index,No Model Version Pinning (NMVP),35
run-llama__llama_index,No Structured Output (NSO),33
run-llama__llama_index,No System Message (NSM),8
run-llama__llama_index,Unbounded Max Metrics (UMM),52
run-llama__rags,LLM Temperature Not Explicitly Set(TNES),3
saten-private__BabyCommandAGI,LLM Temperature Not Explicitly Set(TNES),3
saten-private__BabyCommandAGI,No Model Version Pinning (NMVP),4
saten-private__BabyCommandAGI,No Structured Output (NSO),10
saten-private__BabyCommandAGI,No System Message (NSM),3
saten-private__BabyCommandAGI,Unbounded Max Metrics (UMM),1
sgl-project__sglang,LLM Temperature Not Explicitly Set(TNES),44
sgl-project__sglang,No Model Version Pinning (NMVP),73
sgl-project__sglang,No Structured Output (NSO),78
sgl-project__sglang,No System Message (NSM),32
sgl-project__sglang,Unbounded Max Metrics (UMM),41
simonw__llm,LLM Temperature Not Explicitly Set(TNES),8
simonw__llm,No Structured Output (NSO),4
simonw__llm,No System Message (NSM),1
simonw__llm,Unbounded Max Metrics (UMM),8
speechbrain__speechbrain,No Model Version Pinning (NMVP),5
stas00__ml-engineering,No Model Version Pinning (NMVP),1
sw5park__LUISE,No Structured Output (NSO),1
unslothai__unsloth,No Model Version Pinning (NMVP),22
uukuguy__DB-GPT-Lite,LLM Temperature Not Explicitly Set(TNES),3
uukuguy__DB-GPT-Lite,No Model Version Pinning (NMVP),23
uukuguy__DB-GPT-Lite,No Structured Output (NSO),2
uukuguy__DB-GPT-Lite,No System Message (NSM),2
uukuguy__DB-GPT-Lite,Unbounded Max Metrics (UMM),3
vmayoral__PentestGPT,LLM Temperature Not Explicitly Set(TNES),2
vmayoral__PentestGPT,No Model Version Pinning (NMVP),2
vmayoral__PentestGPT,No Structured Output (NSO),8
vmayoral__PentestGPT,No System Message (NSM),4
vmayoral__PentestGPT,Unbounded Max Metrics (UMM),8
wzpan__wukong-robot,LLM Temperature Not Explicitly Set(TNES),1
wzpan__wukong-robot,No Structured Output (NSO),2
wzpan__wukong-robot,Unbounded Max Metrics (UMM),1
xorbitsai__inference,LLM Temperature Not Explicitly Set(TNES),22
xorbitsai__inference,No Model Version Pinning (NMVP),57
xorbitsai__inference,No Structured Output (NSO),20
xorbitsai__inference,No System Message (NSM),9
xorbitsai__inference,Unbounded Max Metrics (UMM),18
xtekky__gpt4free,LLM Temperature Not Explicitly Set(TNES),49
xtekky__gpt4free,No Model Version Pinning (NMVP),10
xtekky__gpt4free,No Structured Output (NSO),63
xtekky__gpt4free,No System Message (NSM),12
xtekky__gpt4free,Unbounded Max Metrics (UMM),41
ymcui__Chinese-LLaMA-Alpaca,LLM Temperature Not Explicitly Set(TNES),1
ymcui__Chinese-LLaMA-Alpaca,No Model Version Pinning (NMVP),3
ymcui__Chinese-LLaMA-Alpaca,No Structured Output (NSO),1
ymcui__Chinese-LLaMA-Alpaca,No System Message (NSM),1
ymcui__Chinese-LLaMA-Alpaca,Unbounded Max Metrics (UMM),1
ymcui__Chinese-LLaMA-Alpaca-2,No Model Version Pinning (NMVP),12
yoheinakajima__babyagi,No Structured Output (NSO),2
yoheinakajima__babyagi,No System Message (NSM),1
yujiosaka__ChatIQ,Unbounded Max Metrics (UMM),1
yvann-hub__Robby-chatbot,Unbounded Max Metrics (UMM),3
zhayujie__chatgpt-on-wechat,LLM Temperature Not Explicitly Set(TNES),5
zhayujie__chatgpt-on-wechat,No Model Version Pinning (NMVP),1
zhayujie__chatgpt-on-wechat,No Structured Output (NSO),4
zhayujie__chatgpt-on-wechat,No System Message (NSM),1
zhayujie__chatgpt-on-wechat,Unbounded Max Metrics (UMM),4
zhjunqin__Langchain-Chatchat-InternLM,LLM Temperature Not Explicitly Set(TNES),5
zhjunqin__Langchain-Chatchat-InternLM,No Structured Output (NSO),1
zhjunqin__Langchain-Chatchat-InternLM,Unbounded Max Metrics (UMM),5
zilliztech__GPTCache,LLM Temperature Not Explicitly Set(TNES),85
zilliztech__GPTCache,No Model Version Pinning (NMVP),73
zilliztech__GPTCache,No Structured Output (NSO),81
zilliztech__GPTCache,No System Message (NSM),33
zilliztech__GPTCache,Unbounded Max Metrics (UMM),83
